32.2000,3
33.8000,2
35.1000,3
36.2000,2
37.6000,1
39.1000,2
40.0000,2
41.5000,1
43.0000,2
43.9500,1
45.4000,0
46.9000,0
47.9000,0
49.5000,2
49.5000,1
64.0000,3
65.5000,2
66.8000,3
67.8000,2
69.3000,1
70.8000,2
71.9000,2
73.3000,1
74.7000,2
75.9000,1
77.5000,0
78.8000,0
79.9000,0
96.1000,3
97.5000,2
99.0000,3
100.0000,2
101.5000,1
103.0000,2
103.9000,2
105.3000,1
106.9000,2
107.9000,1
109.5000,0
111.0000,0
111.9000,0
113.5000,2
113.5000,1
124.2000,1
125.5000,1
127.0000,2
128.0000,2
129.5000,3
131.1000,3
132.0000,3
133.9000,2
136.1000,2
137.5000,2
139.1500,3
140.1000,2
142.0000,2
144.0000,1
145.4000,2
147.0000,2
148.0000,2
150.1000,1
151.9000,2
155.2426,0
155.7831,0
156.256,0
158.4000,1
160.5795,2
161.8631,3
163.3493,3
164.2951,3
166.0000,2
168.1000,2
169.4000,2
171.0000,3
172.0000,2
174.0000,2
176.2000,1
177.5000,2
178.9000,2
180.0000,2
181.8000,1
184.0000,2
184.0000,1
184.0000,0
200.3697,3
201.856,2
203.3422,3
204.3555,2
205.9093,1
207.3955,2
208.4088,2
209.9626,1
211.3813,2
212.5297,1
213.9484,0
215.3671,0
216.3129,0
217.9342,2
217.9342,1
232.391,3
233.8773,2
235.5000,3
236.5000,2
237.8631,1
239.3493,2
240.4302,2
241.8488,1
243.3351,2
244.416,1
245.9022,0
247.3884,0
248.2666,0
264.6151,3
266.0338,2
267.5875,3
268.6008,2
269.9519,1
271.3706,2
272.2488,2
273.8702,1
275.2888,2
276.3698,1
278.0586,0
279.4097,0
280.288,0
281.9093,2
281.9093,1
292.5155,1
293.9342,1
295.2853,2
296.3662,2
297.92,3
299.5413,3
300.4195,3
302.6488,2
304.5404,2
305.6888,2
307.3777,3
308.256,2
310.3502,2
312.512,1
313.728,2
315.3493,2
316.2951,2
318.3893,1
320.4836,2
323.456,0
323.9964,0
324.4693,0
326.496,1
328.5226,2
329.8737,3
331.4275,3
332.2382,3
334.3999,2
336.3591,2
337.7102,2
339.4666,3
340.3449,2
342.5066,2
344.3982,1
345.8844,2
347.3031,2
348.3164,2
350.4782,1
352.5000,2
352.5000,1
352.5000,0
